crew_member_id,age,gender,technical_skill,experience,assigned_task,time_since_last_meal,specialized_role
1,35,M,4.5,9.2,Navigation,2.3,Pilot
2,42,F,3.8,12.6,Engineering,1.8,Engineer
3,28,M,4.2,6.7,Research,3.5,Scientist
4,39,M,4.9,11.1,Medical,2.1,Doctor
5,31,F,4.1,8.5,Navigation,2.8,Pilot
6,45,M,4.6,14.3,Engineering,1.5,Engineer
7,36,F,3.9,7.8,Research,3.1,Scientist
8,40,M,4.8,10.5,Medical,2.4,Doctor
9,27,F,4.0,6.2,Navigation,3.6,Pilot
10,33,M,4.3,8.9,Engineering,2.7,Engineer
11,37,F,4.4,9.8,Research,2.2,Scientist
12,29,M,3.7,7.3,Medical,3.2,Doctor
13,41,M,4.9,13.2,Navigation,1.9,Pilot
14,34,F,4.2,8.1,Engineering,3.3,Engineer
15,38,M,4.7,10.9,Research,2.5,Scientist
16,43,F,3.9,11.5,Medical,2.9,Doctor
17,30,M,4.1,6.9,Navigation,2.0,Pilot
18,46,F,4.6,15.1,Engineering,1.3,Engineer
19,35,M,3.8,9.6,Research,3.4,Scientist
20,39,M,4.8,10.3,Medical,2.6,Doctor
21,26,F,4.0,6.5,Navigation,3.5,Pilot
22,32,M,4.3,8.8,Engineering,2.8,Engineer
23,36,F,4.4,9.7,Research,2.1,Scientist
24,30,M,3.7,7.1,Medical,3.1,Doctor
25,40,F,4.9,12.8,Navigation,1.8,Pilot
26,33,M,4.2,8.3,Engineering,3.2,Engineer
27,37,F,3.9,7.6,Research,2.5,Scientist
28,42,M,4.8,10.7,Medical,2.9,Doctor
29,28,F,4.0,6.4,Navigation,2.2,Pilot
30,44,M,4.5,13.5,Engineering,1.5,Engineer
31,35,M,4.2,9.4,Research,3.3,Scientist
32,39,M,4.7,11.3,Medical,2.6,Doctor
33,31,F,3.8,8.7,Navigation,3.4,Pilot
34,45,M,4.3,14.7,Engineering,1.2,Engineer
35,37,F,4.4,9.6,Research,2.3,Scientist
36,29,M,3.7,7.2,Medical,3.2,Doctor
37,41,M,4.9,13.1,Navigation,1.7,Pilot
38,34,F,4.2,8.0,Engineering,3.1,Engineer
39,38,M,4.7,10.8,Research,2.4,Scientist
40,43,F,3.9,11.4,Medical,2.8,Doctor
41,30,M,4.1,6.8,Navigation,1.9,Pilot
42,46,F,4.6,15.0,Engineering,1.2,Engineer
43,35,M,3.8,9.7,Research,3.3,Scientist
44,39,M,4.8,10.4,Medical,2.7,Doctor
45,26,F,4.0,6.6,Navigation,3.4,Pilot
46,32,M,4.3,8.7,Engineering,2.9,Engineer
47,36,F,4.4,9.5,Research,2.2,Scientist
48,30,M,3.7,7.0,Medical,3.0,Doctor
49,40,F,4.9,12.7,Navigation,1.7,Pilot
50,33,M,4.2,8.2,Engineering,3.1,Engineer
51,37,F,3.9,7.5,Research,2.4,Scientist
52,42,M,4.8,10.6,Medical,2.8,Doctor
53,28,F,4.0,6.3,Navigation,2.1,Pilot
54,44,M,4.5,13.4,Engineering,1.4,Engineer
55,35,M,4.2,9.3,Research,3.2,Scientist
56,39,M,4.7,11.2,Medical,2.5,Doctor
57,31,F,3.8,8.6,Navigation,3.3,Pilot
58,45,M,4.3,14.6,Engineering,1.1,Engineer
59,37,F,4.4,9.9,Research,2.2,Scientist
60,29,M,3.7,7.4,Medical,3.1,Doctor
61,41,M,4.9,13.0,Navigation,1.6,Pilot
62,34,F,4.2,8.0,Engineering,3.2,Engineer
63,38,M,4.7,10.9,Research,2.3,Scientist
64,43,F,3.9,11.3,Medical,2.7,Doctor
65,30,M,4.1,6.9,Navigation,1.8,Pilot
66,46,F,4.6,14.9,Engineering,1.1,Engineer
67,35,M,3.8,9.5,Research,3.2,Scientist
68,39,M,4.8,10.3,Medical,2.6,Doctor
69,31,F,4.0,8.5,Navigation,3.1,Pilot
70,45,M,4.5,13.3,Engineering,1.3,Engineer
71,37,F,4.4,9.8,Research,2.1,Scientist
72,29,M,3.7,7.3,Medical,3.0,Doctor
73,41,M,4.9,12.9,Navigation,1.5,Pilot
74,34,F,4.2,7.9,Engineering,3.3,Engineer
75,38,M,4.7,10.7,Research,2.2,Scientist
76,43,F,3.9,11.2,Medical,2.6,Doctor
77,30,M,4.1,6.7,Navigation,1.7,Pilot
78,46,F,4.6,14.8,Engineering,1.0,Engineer
79,35,M,3.8,9.4,Research,3.1,Scientist
80,39,M,4.8,10.2,Medical,2.5,Doctor
81,26,F,4.0,6.4,Navigation,3.0,Pilot
82,32,M,4.3,8.6,Engineering,2.8,Engineer
83,36,F,4.4,9.3,Research,2.1,Scientist
84,30,M,3.7,7.2,Medical,2.9,Doctor
85,40,F,4.9,12.6,Navigation,1.6,Pilot
86,33,M,4.2,8.1,Engineering,3.2,Engineer
87,37,F,3.9,7.4,Research,2.3,Scientist
88,42,M,4.8,10.5,Medical,2.7,Doctor
89,28,F,4.0,6.6,Navigation,2.0,Pilot
90,44,M,4.5,13.2,Engineering,1.2,Engineer
91,35,M,4.2,9.1,Research,3.0,Scientist
92,39,M,4.7,11.0,Medical,2.4,Doctor
93,31,F,3.8,8.4,Navigation,3.0,Pilot
94,45,M,4.3,14.5,Engineering,0.9,Engineer
95,37,F,4.4,9.7,Research,2.0,Scientist
96,29,M,3.7,7.1,Medical,2.8,Doctor
97,41,M,4.9,12.8,Navigation,1.5,Pilot
98,34,F,4.2,8.0,Engineering,3.1,Engineer
99,38,M,4.7,10.8,Research,2.1,Scientist
100,43,F,3.9,11.4,Medical,2.5,Doctor
101,30,M,4.1,6.8,Navigation,1.6,Pilot
102,46,F,4.6,15.0,Engineering,1.0,Engineer
103,35,M,3.8,9.5,Research,3.0,Scientist
104,39,M,4.8,10.2,Medical,2.4,Doctor
105,26,F,4.0,6.5,Navigation,2.9,Pilot
106,32,M,4.3,8.7,Engineering,2.7,Engineer
107,36,F,4.4,9.6,Research,2.0,Scientist
108,30,M,3.7,7.0,Medical,2.8,Doctor
109,40,F,4.9,12.7,Navigation,1.5,Pilot
110,33,M,4.2,8.3,Engineering,3.1,Engineer
111,37,F,3.9,7.6,Research,2.2,Scientist
112,42,M,4.8,10.6,Medical,2.6,Doctor
113,28,F,4.0,6.4,Navigation,1.9,Pilot
114,44,M,4.5,13.4,Engineering,1.1,Engineer
115,35,M,4.2,9.3,Research,3.0,Scientist
116,39,M,4.7,11.1,Medical,2.3,Doctor
117,31,F,3.8,8.7,Navigation,2.9,Pilot
118,45,M,4.3,14.6,Engineering,0.9,Engineer
119,37,F,4.4,9.9,Research,2.1,Scientist
120,29,M,3.7,7.4,Medical,2.8,Doctor
121,41,M,4.9,13.0,Navigation,1.4,Pilot
122,34,F,4.2,8.1,Engineering,3.2,Engineer
123,38,M,4.7,10.9,Research,2.2,Scientist
124,43,F,3.9,11.3,Medical,2.6,Doctor
125,30,M,4.1,6.9,Navigation,1.7,Pilot
126,46,F,4.6,14.9,Engineering,0.8,Engineer
127,35,M,3.8,9.4,Research,3.1,Scientist
128,39,M,4.8,10.3,Medical,2.5,Doctor
129,31,F,4.0,8.6,Navigation,2.8,Pilot
130,45,M,4.5,13.3,Engineering,1.0,Engineer
131,37,F,4.4,9.8,Research,2.0,Scientist
132,29,M,3.7,7.3,Medical,2.7,Doctor
133,41,M,4.9,12.9,Navigation,1.3,Pilot
134,34,F,4.2,7.9,Engineering,3.3,Engineer
135,38,M,4.7,10.8,Research,2.1,Scientist
136,43,F,3.9,11.2,Medical,2.5,Doctor
137,30,M,4.1,6.8,Navigation,1.6,Pilot
138,46,F,4.6,14.8,Engineering,0.7,Engineer
139,35,M,3.8,9.3,Research,3.1,Scientist
140,39,M,4.8,10.2,Medical,2.4,Doctor
141,26,F,4.0,6.6,Navigation,2.7,Pilot
142,32,M,4.3,8.5,Engineering,2.6,Engineer
143,36,F,4.4,9.2,Research,1.9,Scientist
144,30,M,3.7,7.1,Medical,2.6,Doctor
145,40,F,4.9,12.5,Navigation,1.4,Pilot
146,33,M,4.2,8.0,Engineering,3.3,Engineer
147,37,F,3.9,7.3,Research,2.0,Scientist
148,42,M,4.8,10.5,Medical,2.5,Doctor
149,28,F,4.0,6.5,Navigation,2.1,Pilot
150,44,M,4.5,13.3,Engineering,0.6,Engineer
151,35,M,4.2,9.2,Research,3.0,Scientist
152,39,M,4.7,11.0,Medical,2.3,Doctor
153,31,F,3.8,8.5,Navigation,2.6,Pilot
154,45,M,4.3,14.4,Engineering,0.9,Engineer
155,37,F,4.4,9.7,Research,1.8,Scientist
156,29,M,3.7,7.2,Medical,2.5,Doctor
157,41,M,4.9,12.7,Navigation,1.3,Pilot
158,34,F,4.2,8.0,Engineering,3.2,Engineer
159,38,M,4.7,10.9,Research,2.0,Scientist
160,43,F,3.9,11.3,Medical,2.4,Doctor
161,30,M,4.1,6.9,Navigation,1.5,Pilot
162,46,F,4.6,14.7,Engineering,0.8,Engineer
163,35,M,3.8,9.1,Research,2.9,Scientist
164,39,M,4.8,10.0,Medical,2.2,Doctor
165,31,F,4.0,8.3,Navigation,2.5,Pilot
166,45,M,4.5,13.2,Engineering,0.7,Engineer
167,37,F,4.4,9.6,Research,1.7,Scientist
168,29,M,3.7,7.3,Medical,2.4,Doctor
169,41,M,4.9,12.8,Navigation,1.2,Pilot
170,34,F,4.2,7.7,Engineering,3.1,Engineer
171,38,M,4.7,10.7,Research,1.9,Scientist
172,43,F,3.9,11.1,Medical,2.3,Doctor
173,30,M,4.1,6.7,Navigation,1.4,Pilot
174,46,F,4.6,14.6,Engineering,0.9,Engineer
175,35,M,3.8,9.0,Research,2.8,Scientist
176,39,M,4.8,10.1,Medical,2.1,Doctor
177,31,F,4.0,8.1,Navigation,2.4,Pilot
178,45,M,4.5,13.1,Engineering,0.6,Engineer
179,37,F,4.4,9.5,Research,1.6,Scientist
180,29,M,3.7,7.1,Medical,2.3,Doctor
181,41,M,4.9,12.6,Navigation,1.1,Pilot
182,34,F,4.2,7.9,Engineering,3.0,Engineer
183,38,M,4.7,10.6,Research,1.8,Scientist
184,43,F,3.9,11.0,Medical,2.2,Doctor
185,30,M,4.1,6.6,Navigation,1.3,Pilot
186,46,F,4.6,14.5,Engineering,0.8,Engineer
187,35,M,3.8,8.9,Research,2.7,Scientist
188,39,M,4.8,9.9,Medical,2.0,Doctor
189,31,F,4.0,8.0,Navigation,2.3,Pilot
190,45,M,4.5,13.0,Engineering,0.5,Engineer
191,37,F,4.4,9.4,Research,1.5,Scientist
192,29,M,3.7,7.0,Medical,2.2,Doctor
193,41,M,4.9,12.5,Navigation,1.0,Pilot
194,34,F,4.2,7.8,Engineering,2.9,Engineer
195,38,M,4.7,10.5,Research,1.7,Scientist
196,43,F,3.9,10.9,Medical,2.1,Doctor
197,30,M,4.1,6.5,Navigation,1.2,Pilot
198,46,F,4.6,14.4,Engineering,0.7,Engineer
199,35,M,3.8,8.8,Research,2.6,Scientist
200,39,M,4.8,9.8,Medical,1.9,Doctor
201,31,F,4.0,7.9,Navigation,2.2,Pilot
202,45,M,4.5,12.9,Engineering,0.4,Engineer
203,37,F,4.4,9.3,Research,1.4,Scientist
204,29,M,3.7,6.9,Medical,2.1,Doctor
205,41,M,4.9,12.4,Navigation,0.9,Pilot
206,34,F,4.2,7.6,Engineering,2.8,Engineer
207,38,M,4.7,10.4,Research,1.6,Scientist
208,43,F,3.9,10.8,Medical,2.0,Doctor
209,30,M,4.1,6.4,Navigation,1.1,Pilot
210,46,F,4.6,14.3,Engineering,0.6,Engineer
211,35,M,3.8,8.7,Research,2.5,Scientist
212,39,M,4.8,9.7,Medical,1.8,Doctor
213,31,F,4.0,7.7,Navigation,2.1,Pilot
214,45,M,4.5,12.8,Engineering,0.3,Engineer
215,37,F,4.4,9.2,Research,1.3,Scientist
216,29,M,3.7,6.8,Medical,2.0,Doctor
217,41,M,4.9,12.3,Navigation,0.8,Pilot
218,34,F,4.2,7.5,Engineering,2.7,Engineer
219,38,M,4.7,10.3,Research,1.5,Scientist
220,43,F,3.9,10.7,Medical,1.9,Doctor
221,30,M,4.1,6.3,Navigation,1.0,Pilot
222,46,F,4.6,14.2,Engineering,0.5,Engineer
223,35,M,3.8,8.6,Research,2.4,Scientist
224,39,M,4.8,9.6,Medical,1.7,Doctor
225,31,F,4.0,7.5,Navigation,2.0,Pilot
226,45,M,4.5,12.7,Engineering,0.2,Engineer
227,37,F,4.4,9.1,Research,1.2,Scientist
228,29,M,3.7,6.7,Medical,1.9,Doctor
229,41,M,4.9,12.2,Navigation,0.7,Pilot
230,34,F,4.2,7.3,Engineering,2.6,Engineer
231,38,M,4.7,10.2,Research,1.4,Scientist
232,43,F,3.9,10.6,Medical,1.8,Doctor
